Unnamed: 0,stator_kv,mfr,group_number,requested_test_kv,media,mediana,desviacion_estandar,moda,B,A,Q,F
90,13.8,RK,UST,8.0,-0.6022092869769032,0.265073472888202,1.3927738998528667,-0.32,3.1236953106993743,5.389414508969562,7.65513370723975,False
91,13.8,TOS,GST,2.0,-0.34675342176427054,1.0565130683983737,-0.6664616617113001,0.99,1.637980451855391,2.065799543917937,2.4936186359804835,False
92,13.8,TOS,GST,4.0,-0.21065915243901678,1.2449008587193824,-0.6630627050000679,1.09,1.82864098131104,2.2594936956639,2.690346410016761,False
93,13.8,TOS,GST,6.0,-0.08827737087574974,1.447025779391529,-0.637716231287355,1.39,2.019985238726258,2.473460079269091,2.926934919811925,False
94,13.8,TOS,GST,8.0,-0.08543292440485135,1.6154700058290543,-0.7099431722484821,1.6,1.959443066110807,2.348454226567096,2.7374653870233843,False
95,13.8,TOS,UST,2.0,-1.4205430257685234,-0.8599395205122673,1.8441756597221102,7.6,2.3983794040165454,5.066981768200896,7.735584132385246,False
96,13.8,TOS,UST,4.0,-1.6373382164360184,-1.1757266034844278,2.027938998646851,-1.14,2.263505518220281,5.096119550827019,7.928733583433758,False
97,13.8,TOS,UST,6.0,-1.6886233239697863,-1.516730844691733,2.268913122257309,-1.88,2.407874293193691,5.455561518806355,8.503248744419018,False
98,13.8,TOS,UST,8.0,-2.4407339169658138,-1.7590449845211604,0.1347488600896874,-1.69,-0.5338011245882619,0.6091109517825926,1.752023028153447,False
99,18.0,GE,GST,2.0,-0.41920044528537925,1.01,-0.9125678829271073,0.96,1.3184474031645763,1.526612824440999,1.734778245717422,False
100,18.0,GE,GST,4.0,-0.32641088938637125,1.15,-0.9329819246614798,1.13,1.428152241340221,1.6180978094963765,1.808043377652532,False
101,18.0,GE,GST,6.0,-0.24038533197982026,1.28,-0.9456361780871854,1.24,1.5354575990541346,1.7141090471255451,1.892760495196956,False
102,18.0,GE,GST,8.0,-0.15296323177584153,1.41,-0.9534207364037396,1.38,1.6490345854931427,1.820738192907651,1.9924418003221591,False
103,18.0,GE,GST,10.0,-0.061485733400456766,1.5599284205063064,-0.930261079226076,1.49,1.795820761511055,1.988194726985148,2.18056869245924,False
104,18.0,GE,UST,2.0,-0.2942968403890891,0.8,1.017982865592525,0.4,3.21369314405479,5.144905453200778,7.076117762346767,False
105,18.0,GE,UST,4.0,-0.2968009168694,0.77,1.091631167580557,0.3,3.2759731561729737,5.272917732463281,7.269862308753588,False
106,18.0,GE,UST,6.0,-0.40368501501637977,0.6298494368682364,1.1162920345944378,0.17,3.1506271794309417,5.169581967155999,7.188536754881056,False
107,18.0,GE,UST,8.0,-0.4605377052344593,0.59361650437198,0.9334208288568564,0.04,2.9090315657964148,4.764770927991366,6.620510290186319,False
108,18.0,GE,UST,10.0,-0.46190897762732214,0.58,0.8181030124830369,0.22,2.8042180919390907,4.557034490429935,6.309850888920779,False
